Time (s),Volume (m^3),NH2_X(8),NH_X(9),H2O_X(10),N2O_X(11),H_X(12),He,NOX,OX,NX,OHX,NH3X,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7)
0.0,0.054700809901540644,0.0,0.0,0.0,0.0,0.0,0.938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034625753121850796,0.01,0.05,0.0,0.0,0.002,0.0
2.816287173184051e-27,0.054700809901540644,7.284258619566814e-25,2.7464371928428802e-43,5.283142114517299e-24,-1.363994540433831e-205,3.648268361056772e-24,0.938,8.622572801618033e-115,2.2142387981549688e-22,7.345770054650653e-63,2.919842499100078e-24,3.0351077581528386e-23,0.0,0.0,0.034625753121850796,0.01,0.05,8.621432488044463e-134,1.1210134281592782e-142,0.002,-5.659856324499283e-225
7.885604084915343e-27,0.054700809901540644,2.0395924134787076e-24,1.6588480644770992e-42,1.4792797920648437e-23,4.7921312087744374e-203,1.021515141095898e-23,0.938,5.245531984457976e-113,6.199868634833915e-22,8.720898208881251e-62,8.175558997480196e-24,8.498301722827948e-23,0.0,0.0,0.034625753121850796,0.01,0.05,5.047778276253367e-123,1.238751086369962e-140,0.002,3.5736061881080805e-222
1.8024237908377927e-26,0.054700809901540644,4.661925516522761e-24,7.986639356787095e-42,3.381210953291071e-23,5.273335401189381e-200,2.3348917510763484e-23,0.938,2.3680838806873065e-111,1.4171128308191806e-21,8.562229575700799e-61,1.868699199424035e-23,1.9424689652178164e-22,0.0,0.0,0.034625753121850796,0.01,0.05,9.735000961188137e-122,1.1207288383542e-138,0.002,7.88093318591819e-219
3.83015055553031e-26,0.054700809901540644,9.906591722610866e-24,3.487975234910457e-41,7.185073275743527e-23,3.886625593358105e-197,4.961644971037283e-23,0.938,8.941434151295632e-110,3.0113647654907595e-21,7.573195095542635e-60,3.9709857987760313e-23,4.1277465510878595e-22,0.0,0.0,0.034625753121850796,0.01,0.05,1.666487942317557e-120,8.481844814413823e-137,0.002,1.1619638965401425e-215
7.885604084915343e-26,0.054700809901540644,2.0395924134787078e-23,1.4561609996452952e-40,1.4792797920648438e-22,2.3732607197524424e-194,1.0215151410959288e-22,0.938,3.1021988785293724e-108,6.1998686348339185e-21,6.36572679703938e-59,8.17555899747989e-23,8.498301722827944e-22,0.0,0.0,0.034625753121850796,0.01,0.05,2.751111271629339e-119,5.892543843700422e-135,0.002,1.4192419185091305e-212
1.599651114368541e-25,0.054700809901540644,4.137458895913949e-23,5.948892817185391e-40,3.000824721045825e-22,1.3249164242975242e-191,2.0722164290803842e-22,0.938,1.0331617485777576e-106,1.2576876373520242e-20,5.219007429226481e-58,1.6584705394887063e-22,1.723941206630811e-21,0.0,0.0,0.034625753121850796,0.01,0.05,4.4693245190538696e-118,3.927355516509167e-133,0.002,1.5847576481845446e-209
3.2218325261225543e-25,0.054700809901540644,8.333191860784434e-23,2.4046375913191976e-39,6.043914579007788e-22,7.080668403194131e-189,4.1736190050495106e-22,0.938,3.372412023821526e-105,2.533089185089291e-20,4.2264875280927865e-57,3.340299818969925e-22,3.4721632753268426e-21,0.0,0.0,0.034625753121850796,0.01,0.05,7.204932621374725e-117,2.564713570063503e-131,0.002,1.6939321418623755e-206
6.466195349630581e-25,0.054700809901540644,1.6724657790525402e-22,9.66894199489107e-39,1.213009429493171e-21,3.703474808778866e-186,8.376424156988628e-22,0.938,1.0899052916691436e-103,5.0838922805638335e-20,3.4018448587138956e-56,6.703958377931498e-22,6.9686074127189e-21,0.0,0.0,0.034625753121850796,0.01,0.05,1.1571100527243485e-115,1.6580042833968007e-129,0.002,1.7720256432873046e-203
1.2954920996646635e-24,0.054700809901540644,3.350758965000735e-22,3.877678193951705e-38,2.4302453726779542e-21,1.916466630714101e-183,1.6782034460870324e-21,0.938,3.5049720804647973e-102,1.0185498471512953e-19,2.7297662584120185e-55,1.3431275495851183e-21,1.3961495687502992e-20,0.0,0.0,0.034625753121850796,0.01,0.05,1.8548327272058028e-114,1.0664632339248535e-127,0.002,1.833987350377156e-200
