Time (s),Volume (m^3),NH2_X(8),NH_X(9),H2O_X(10),N2O_X(11),H_X(12),He,NOX,OX,NX,OHX,NH3X,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),NN_ads(36)
0.0,0.048764219312884285,0.0,0.0,0.0,0.0,0.0,0.938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028857280194768284,0.01,0.05,0.0,0.0,0.002,0.0,0.0
3.0577024869931825e-27,0.048764219312884285,7.467193499539206e-25,4.411861400873737e-44,2.968440587527081e-24,-4.481055735099871e-213,7.467931243705282e-25,0.938,1.262934310876092e-118,2.2698465861160707e-22,1.3399092417107387e-64,7.377441660748127e-29,3.111330624808003e-23,0.0,0.0,0.028857280194768284,0.01,0.05,-5.553854445375206e-127,1.861080792066001e-167,0.002,-1.596126441995723e-229,-6.736623948668595e-148
8.561566963580912e-27,0.048764219312884285,2.0908141798709775e-24,2.6647642861277374e-43,8.311633645075826e-24,1.574332331304733e-210,2.0910207482374787e-24,0.938,7.683045900029828e-117,6.355570441125e-22,1.5907402517589893e-63,2.0656836650094755e-28,8.711725749462408e-23,0.0,0.0,0.028857280194768284,0.01,0.05,6.39043274106019e-116,2.0565461341482231e-165,0.002,1.0077865949203958e-226,1.3952458232701376e-136
1.9569295916756368e-26,0.048764219312884285,4.779003839705092e-24,1.2829692953740828e-42,1.899801976017332e-23,1.7324196778287225e-207,4.77947599597138e-24,0.938,3.468494177829351e-115,1.4527018151142856e-21,1.5617982121380373e-62,4.721562662878801e-28,1.9912515998771217e-22,0.0,0.0,0.028857280194768284,0.01,0.05,1.2324406000717635e-114,1.8606083052312002e-163,0.002,2.2224885428203782e-223,5.52118704358216e-135
4.1584753823107286e-26,0.048764219312884285,1.0155383159373322e-23,5.603063979109646e-42,4.037079199036831e-23,1.2768515836661753e-204,1.0156386491439183e-23,0.938,1.3096374055005828e-113,3.086991357117857e-21,1.3813928318341035e-61,1.0033320658617453e-27,4.231409649738884e-22,0.0,0.0,0.028857280194768284,0.01,0.05,2.109755723531151e-113,1.4081364166968308e-161,0.002,3.276834590877579e-220,1.8977336405048468e-133
8.561566963580912e-26,0.048764219312884285,2.090814179870978e-23,2.3391689147432557e-41,8.311633645075828e-23,7.79674202127003e-202,2.0910207482374787e-23,0.938,4.543740547521639e-112,6.355570441125e-21,1.1611439103186591e-60,2.0656836650094755e-27,8.711725749462407e-22,0.0,0.0,0.028857280194768284,0.01,0.05,3.482877135804368e-112,9.782666100180669e-160,0.002,4.002379957966538e-217,6.273204610256033e-132
1.736775012612128e-25,0.048764219312884285,4.24136590773827e-23,9.556268268748552e-41,1.6860742537153818e-22,4.352674560369749e-199,4.2417849464245993e-23,0.938,1.513255311144505e-110,1.2892728609139285e-20,9.519759310394233e-60,4.190386863304936e-27,1.7672357948909454e-21,0.0,0.0,0.028857280194768284,0.01,0.05,5.658116536552757e-111,6.520105525525362e-158,0.002,4.469148047706254e-214,2.0393026566066207e-130
3.498011645120201e-25,0.048764219312884285,8.542469363472852e-23,3.8627964258122e-40,3.3958960321309803e-22,2.326172780697298e-196,8.543313342798842e-23,0.938,4.939517373190305e-109,2.5967044945167856e-20,7.709347905984823e-59,8.439793259895856e-27,3.559362234780355e-21,0.0,0.0,0.028857280194768284,0.01,0.05,9.12136682757124e-110,4.257878628320476e-156,0.002,4.777029177567671e-211,6.576731349743056e-129
7.020484910136347e-25,0.048764219312884285,1.7144676274942017e-22,1.5532134536232026e-39,6.815539588962177e-22,1.2166820706210816e-193,1.7146370135547324e-22,0.938,1.5963666613995813e-107,5.2115677617225e-20,6.2051538928462814e-58,1.69386060530777e-26,7.14361511455917e-21,0.0,0.0,0.028857280194768284,0.01,0.05,1.4648888206750866e-108,2.7525806726886213e-154,0.002,4.997259330633385e-208,2.112707260313304e-127
1.4065431440168639e-24,0.048764219312884285,3.434909009788035e-22,6.229080640725226e-39,1.3654826702624565e-21,6.296061695913781e-191,3.435248372104429e-22,0.938,5.13367594520206e-106,1.0441294296133929e-19,4.97924521206696e-57,3.393623163944139e-26,1.4312120874116794e-20,0.0,0.0,0.028857280194768284,0.01,0.05,2.3481981855647637e-107,1.770517793729972e-152,0.002,5.171996485295689e-205,6.773708231504219e-126
