Time (s),Volume (m^3),H_X(19),He,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),NO2(8),H2OX(9),NOX(10),OX(11),NX(12),OHX(13),NH3X(14),NH2X(15),NHX(16),N2OX(17),NO2X(18)
0.0,0.041572359999999996,0.0,0.938,0.0,0.0,0.02631541062451732,0.01,0.05,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.825533683657712e-27,0.041572359999999996,4.510394895857629e-24,0.938,0.0,0.0,0.02631541062451732,0.01,0.05,2.019295752256194e-146,8.534303931592206e-151,0.002,-8.286315595715664e-233,-1.2821092419951425e-194,2.243854679875734e-22,2.1020945607451003e-114,6.734558493271113e-23,1.4725099040461153e-69,2.294903694345675e-24,9.231213339633062e-24,2.2154912015119362e-24,3.1741568061554163e-46,-1.3345342158353184e-216,-3.086796360641491e-159
2.7511494314241594e-26,0.041572359999999996,1.2629105708401389e-23,0.938,0.0,0.0,0.02631541062451732,0.01,0.05,2.4300814333558208e-135,9.430643438946902e-149,0.002,5.2319400215638115e-230,2.322729068505418e-192,6.282793103652052e-22,1.2788067034495868e-112,1.8856763781159112e-22,1.7481637580835472e-68,6.42573034416786e-24,2.5847397350972576e-23,6.2033753642334195e-24,1.917190710917871e-45,4.68862807258093e-214,3.123918124177803e-157
6.288341557540936e-26,0.041572359999999996,2.8866527333489026e-23,0.938,0.0,0.0,0.02631541062451732,0.01,0.05,4.686585621435024e-134,8.532137064547557e-147,0.002,1.153808432709001e-226,9.805229552720802e-190,1.4360669951204688e-21,5.773144741738047e-111,4.310117435693513e-22,1.7163575441561533e-67,1.4687383643812114e-23,5.90797653736516e-23,1.4179143689676388e-23,9.230447992299957e-45,5.1594389230381605e-211,6.541964858723965e-155
1.3362725809774487e-25,0.041572359999999996,6.134137058366478e-23,0.938,0.0,0.0,0.02631541062451732,0.01,0.05,8.022740274912568e-133,6.457249964372059e-145,0.002,1.701173846610296e-223,3.153850865694846e-187,3.0516423646309954e-21,2.179829607157789e-109,9.158999550848719e-22,1.5180988106753865e-66,3.121069024310015e-23,1.2554450141900965e-22,3.0130680340562324e-23,4.0311791438173853e-44,3.802680057170061e-208,1.0513305719470221e-152
2.751149431424159e-25,0.041572359999999996,1.2629105708401817e-22,0.938,0.0,0.0,0.02631541062451732,0.01,0.05,1.324429096616978e-131,4.486008569752689e-143,0.002,2.0778418683812447e-220,9.021707390289908e-185,6.282793103652045e-21,7.562841540054203e-108,1.8856763781159155e-21,1.2760535226879067e-65,6.425730344167436e-23,2.5847397350972574e-22,6.20337536423342e-23,1.6829379386236093e-43,2.322001693418081e-205,1.5031014950255392e-150
5.58090313231758e-25,0.041572359999999996,2.5619043008473243e-22,0.938,0.0,0.0,0.02631541062451732,0.01,0.05,2.1516045157101153e-130,2.989905713193735e-141,0.002,2.3201652584318297e-217,2.4395087106358747e-182,1.274509458169413e-20,2.5187419942085e-106,3.825229224178009e-21,1.0461857738060972e-64,1.3035052983881521e-22,5.243329176911579e-22,1.2583990024587798e-22,6.875350608404945e-43,1.296300130554971e-202,2.0318131373940373e-148
1.1240410534104421e-24,0.041572359999999996,5.159891760861909e-22,0.938,0.0,0.0,0.02631541062451732,0.01,0.05,3.468570137936407e-129,1.9525229441549358e-139,0.002,2.4800022326392283e-214,6.417228883963664e-180,2.5669697537778246e-20,8.221593373801542e-105,7.704334916302228e-21,8.472283638260659e-64,2.6253698263306692e-22,1.0560508060540223e-21,2.534521934529654e-22,2.779126643315819e-42,6.92773612519959e-200,2.6721072106713946e-146
2.2559425337678106e-24,0.041572359999999996,1.0355866680892284e-21,0.938,0.0,0.0,0.02631541062451732,0.01,0.05,5.570513405328755e-128,1.2622428651003793e-137,0.002,2.594335063985569e-211,1.6652129941479763e-177,5.151890344994626e-20,2.657076911350353e-103,1.5462546300550784e-20,6.819230944090692e-63,5.269098882214501e-22,2.1194865827797513e-21,5.086767798671405e-22,1.1174746002342854e-41,3.623485066743949e-197,3.4667568923597977e-144
4.519745494482547e-24,0.041572359999999996,2.0747816520957843e-21,0.938,0.0,0.0,0.02631541062451732,0.01,0.05,8.929462281669894e-127,8.119011641846458e-136,0.002,2.6850501334513704e-208,4.291862934413209e-175,1.0321731527428145e-19,8.544761146782294e-102,3.097896906904838e-20,5.472003372469059e-62,1.0556556993977353e-21,4.2463581362312085e-21,1.0191259526954904e-21,4.4815729496703735e-41,1.8750737012824447e-194,4.467432589669809e-142
9.04735141591202e-24,0.041572359999999996,4.15317162011082e-21,0.938,0.0,0.0,0.02631541062451732,0.01,0.05,1.4300452305732315e-125,5.209217447176739e-134,0.002,2.7641581269857594e-205,1.1024339761235083e-172,2.066141389229484e-19,2.741081849640719e-100,6.20118146060455e-20,4.384261544908101e-61,2.113147321748382e-21,8.500101243134124e-21,2.040024298352191e-21,1.794966755906627e-40,9.651539358669251e-192,5.73758358233289e-140
1.8102563258770968e-23,0.041572359999999996,8.309951556148588e-21,0.938,0.0,0.0,0.02631541062451732,0.01,0.05,2.2891373812079198e-124,3.338081519912561e-132,0.002,2.8380329894782667e-202,2.826998832719911e-170,4.134077862202685e-19,8.782291095520222e-99,1.240775056800474e-19,3.510075054640315e-60,4.2281305664419784e-21,1.7007587456939953e-20,4.08182098966559e-21,7.184544841996095e-40,4.954730311799201e-189,7.356465445144867e-138
3.621298694448886e-23,0.041572359999999996,1.6623511428254908e-20,0.938,0.0,0.0,0.02631541062451732,0.01,0.05,3.6634718197553294e-123,2.1377115434679263e-130,0.002,2.910010321024185e-199,7.243226279445922e-168,8.269950808148539e-19,2.8120670936663663e-97,2.482088878280821e-19,2.8091268271796956e-59,8.458097055798387e-21,3.4022559884551604e-20,8.165414372292391e-21,2.8747537671022597e-39,2.540192044202594e-186,9.424193432249306e-136
7.243383431592465e-23,0.041572359999999996,3.325063117259069e-20,0.938,0.0,0.0,0.02631541062451732,0.01,0.05,5.86223651947035e-122,1.368564149311552e-128,0.002,2.9818309006594605e-196,1.8550483245842912e-165,1.6541696700038052e-18,9.001390028875809e-96,4.964716521242745e-19,2.2477282663277526e-58,1.6918030034388063e-20,6.805250473977489e-20,1.633260113754599e-20,1.1500886995651715e-38,1.3014418129071486e-183,1.2068037538188017e-133
1.4487552905879624e-22,0.041572359999999996,6.650487066175478e-20,0.938,0.0,0.0,0.026315410624517317,0.01,0.05,9.380123717457373e-121,8.760182852921886e-127,0.002,3.0544092044383976e-193,4.749925442058073e-163,3.3085188483808298e-18,2.8808889435082414e-94,9.929971807171515e-19,1.7983533531372792e-57,3.383789599107486e-20,1.361123944502214e-19,3.266697466805318e-20,4.600729210376822e-38,6.665593547400816e-181,1.5450333658720335e-131
2.8975891854453936e-22,0.041572359999999996,1.330133496420532e-19,0.938,0.0,0.0,0.026315410624517314,0.01,0.05,1.5008634177025208e-119,5.606956202615298e-125,0.002,3.1282344894036913e-190,1.216109151538589e-160,6.6172172051313676e-18,9.219555299192264e-93,1.986048237904876e-18,1.4387509821915799e-56,6.76776279024782e-20,2.7223217387111406e-19,6.533572172906755e-20,1.8403665692439973e-37,3.413350151750598e-178,1.9778504543274578e-129
5.795256975160257e-22,0.041572359999999996,2.660303076105308e-19,0.938,0.0,0.0,0.026315410624517303,0.009999999999999998,0.049999999999999996,2.4014163666673623e-118,3.58859251277081e-123,0.0019999999999999996,3.2035781109823235e-187,3.113403583593289e-158,1.3234613918618392e-17,2.9503714096496114e-91,3.972150352288204e-18,1.1510281063618085e-55,1.3535709171740394e-19,5.444717327128981e-19,1.3067321585109623e-19,7.3616160498588136e-37,1.7477802544583325e-175,2.5317815474528405e-127
1.1590592554589982e-21,0.041572359999999996,5.320642235790093e-19,0.938,0.0,0.0,0.026315410624517286,0.009999999999999997,0.04999999999999998,3.842294105393188e-117,2.2967441828597127e-121,0.0019999999999999987,3.2806001815318095e-184,7.970523298924331e-156,2.6469407345536237e-17,9.441370456597633e-90,7.94435458108638e-18,9.208334134888297e-55,2.7071601931573147e-19,1.0889508503964613e-18,2.613482040951534e-19,2.9446763748107155e-36,8.949006062492927e-173,3.2407654812030565e-125
2.3181263713449436e-21,0.041572359999999996,1.0641320556420593e-18,0.938,0.0,0.0,0.026315410624517248,0.009999999999999993,0.049999999999999954,6.147692903771803e-116,1.4699306688800466e-119,0.0019999999999999974,3.359404319606168e-181,2.0404808603377916e-153,5.2938994199147127e-17,3.021267657303552e-88,1.5888763038808794e-17,7.366711021960842e-54,5.4143387438629105e-19,2.1779090857635663e-18,5.226981805832668e-19,1.1778765409435834e-35,4.581986122805767e-170,4.148234279863035e-123
4.6362606031168336e-21,0.041572359999999996,2.1282677202725302e-18,0.938,0.0,0.0,0.026315410624517175,0.009999999999999985,0.0499999999999999,9.83632651466867e-115,9.407602332200707e-118,0.001999999999999995,3.440065726528142e-178,5.22366542622053e-151,1.0587816790546969e-16,9.66810307862096e-87,3.177757995475791e-17,5.893386303504484e-53,1.0828695840230276e-18,4.355825556497696e-18,1.04539813355949e-18,4.711518145993166e-35,2.346001219409857e-167,5.309774732193178e-121
9.272529066660614e-21,0.041572359999999996,4.256539051550959e-18,0.938,0.0,0.0,0.02631541062451703,0.009999999999999969,0.049999999999999795,1.5738136720039657e-113,6.020880225474856e-116,0.0019999999999999896,3.522645582333749e-175,1.3372627537494953e-148,2.1175651531451805e-16,3.093800435347636e-85,6.355521378867323e-17,4.714716037601363e-52,2.1657410012789727e-18,8.711658497965629e-18,2.090798039511922e-18,1.8846096549665571e-34,1.2011588508400224e-164,6.79653395557921e-119
1.8545065993748177e-20,0.041572359999999996,8.513081722177756e-18,0.938,0.0,0.0,0.026315410624516738,0.009999999999999938,0.04999999999999958,2.518103019464014e-112,3.8533680542006674e-114,0.001999999999999979,3.607198431143602e-172,3.423398279242181e-146,4.235132101182275e-16,9.90017330144843e-84,1.2711048146457233e-16,3.7717756286613816e-51,4.3314838277207475e-18,1.7423324380900187e-17,4.181597851416728e-18,7.538443413990343e-34,6.149949249853508e-162,8.699577712986226e-117
3.7090139847923297e-20,0.041572359999999996,1.7026167095711124e-17,0.938,0.0,0.0,0.02631541062451615,0.009999999999999874,0.04999999999999915,4.028965748251231e-111,2.466157055933328e-112,0.001999999999999957,3.693775975551171e-169,8.763906758297084e-144,8.470265996680975e-16,3.168057354129242e-82,2.542210168486444e-16,3.017421623415843e-50,8.66296944832384e-18,3.484665614676408e-17,8.363197475226108e-18,3.0153783252075194e-33,3.148778088423251e-159,1.1135468538408182e-114
7.418028755627354e-20,0.041572359999999996,3.405233797189693e-17,0.938,0.0,0.0,0.026315410624514982,0.009999999999999747,0.049999999999998296,6.446345936337561e-110,1.5783409886142015e-110,0.0019999999999999137,3.782429031771059e-166,2.2435610252773281e-141,1.6940533785376418e-15,1.0137786520395775e-80,5.084420877458835e-16,2.413937748614108e-49,1.7325940560408183e-17,6.969331967847094e-17,1.6726396722843937e-17,1.206151522634345e-32,1.6121754171797362e-156,1.4253405392710434e-112
1.4836058297297404e-19,0.041572359999999996,6.810468024074486e-17,0.938,0.0,0.0,0.02631541062451264,0.009999999999999492,0.04999999999999658,1.031415410688393e-108,1.010138374309973e-108,0.0019999999999998274,3.873208542166749e-163,5.743517259058672e-139,3.3881069353559474e-15,3.244092133062079e-79,1.0168842300567417e-15,1.931150381542511e-48,3.465188226808954e-17,1.3938664674180103e-16,3.345279521807588e-17,4.8246064806723544e-32,8.254340719763893e-154,1.8244362172632737e-110
2.96721173806375e-19,0.041572359999999996,1.362093668443458e-16,0.938,0.0,0.0,0.02631541062450796,0.009999999999998984,0.04999999999999316,1.0314154106883934e-108,6.464885803870756e-107,0.0019999999999996544,9.800313607033466e-160,1.4703404267728262e-136,6.776214045309428e-15,1.0381095142469595e-77,2.0337685167439796e-15,1.5449203826123147e-47,6.930376361750306e-17,2.787733008681266e-16,6.690559220852488e-17,1.9298426743217577e-31,1.0448985783241338e-150,2.335278369927655e-108
5.934423554731769e-19,0.041572359999999996,2.7241874831516703e-16,0.938,0.0,0.0,0.0263154106244986,0.009999999999997967,0.04999999999998631,1.031415410688466e-108,4.137526779918154e-105,0.0019999999999993088,1.0053023664111856e-156,3.764071121387704e-134,1.3552428250483862e-14,3.321950334141328e-76,4.067537098380539e-15,1.235936343949675e-46,1.3860751805253428e-16,5.575466091194394e-16,1.3381118618936347e-16,7.719370893599212e-31,5.356103530514375e-148,2.9891560175439373e-106
1.1868847188067808e-18,0.041572359999999996,5.44837544311279e-16,0.938,0.0,0.0,0.02631541062447988,0.009999999999995934,0.04999999999997262,1.031415410689531e-108,2.648016817227829e-103,0.0019999999999986175,1.0294336318835473e-153,9.636019436703802e-132,2.7104856601902624e-14,1.063023976190695e-74,8.135074294701984e-15,9.887491013572659e-46,2.7721499386742136e-16,1.115093225616712e-15,2.676223741508029e-16,3.0877484224673512e-30,2.7423310298952143e-145,3.8261186539506094e-104
2.373769445473989e-18,0.041572359999999996,1.0896752685213183e-15,0.938,0.0,0.0,0.026315410624442433,0.009999999999991866,0.04999999999994524,1.0314154112293702e-108,1.6947303024079542e-101,0.001999999999997235,1.0541398460085594e-150,2.466819531972521e-129,5.4209713069019755e-14,3.4016757911431664e-73,1.6270148819538107e-14,7.909993092505684e-45,5.544298132765572e-16,2.230186458589844e-15,5.352447500727304e-16,1.2350994026046472e-29,1.404073224712642e-142,4.897429004619583e-102
3.560654172141197e-18,0.041572359999999996,1.6345131249491085e-15,0.938,0.0,0.0,0.026315410624404987,0.009999999999987798,0.04999999999991786,9.505629109984484e-104,9.499175692916034e-101,0.0019999999999958523,7.061022804343377e-150,1.8729341616959296e-128,8.131456930041647e-14,1.5913796380633e-72,2.4405223476567403e-14,2.2617636972435607e-44,8.316445004651176e-16,3.345279691541563e-15,8.028671259937066e-16,2.6245862807470575e-29,8.00875523299277e-142,3.241294227353959e-101
4.747538898808405e-18,0.041572359999999996,2.1793511135945875e-15,0.938,0.0,0.0,0.02631541062436754,0.00999999999998373,0.04999999999989048,2.2179664268449296e-103,3.4676877025514244e-100,0.0019999999999944697,5.707331026711856e-149,9.215953730283846e-128,1.0841942529609278e-13,5.133905002739416e-72,3.25402982657898e-14,4.770714780805983e-44,1.1088590554331659e-15,4.460372924471869e-15,1.0704895019137318e-15,4.4772355007220194e-29,6.667953607673475e-141,1.4635421747399913e-100
7.121308352142821e-18,0.041572359999999996,3.2690274011921722e-15,0.938,0.0,0.0,0.026315410624292653,0.009999999999975594,0.04999999999983572,3.0133268602825164e-103,2.258569938681736e-99,0.001999999999991704,2.2310213272304812e-147,1.1704131255420642e-126,1.6262913673422406e-13,2.8259399636378167e-71,4.881044815448356e-14,1.3030302166296705e-43,1.663287855056011e-15,6.690559390282226e-15,1.6057342537515495e-15,9.269547694305223e-29,2.403101080370279e-139,1.69217665319598e-99
9.495077805477237e-18,0.041572359999999996,4.358704175000831e-15,0.938,0.0,0.0,0.026315410624217765,0.009999999999967459,0.049999999999780956,5.03914070018427e-103,8.303706387942111e-99,0.0019999999999889386,1.5593001631880388e-146,5.988026718088912e-126,2.168388473055274e-13,9.069191648017455e-71,6.508059852929802e-14,2.726375167379197e-43,2.217716168457399e-15,8.920745856013838e-15,2.1409790055858694e-15,1.5765073247814687e-28,1.4946404853449496e-138,7.613785167432784e-99
1.1868847258811653e-17,0.041572359999999996,5.4483814697495076e-15,0.938,0.0,0.0,0.026315410624142877,0.009999999999959323,0.049999999999726194,8.721923106888891e-103,2.4454859755911362e-98,0.001999999999986173,8.41211170674866e-146,2.3477849236935905e-125,2.7104855694808643e-13,2.3697498229862396e-70,8.135074942495565e-14,4.963261985305601e-43,2.7721439609076478e-15,1.1150932321661082e-14,2.6762237574164407e-15,2.4085470423288735e-28,7.621482208063608e-138,2.7120486227030223e-98
1.6616386165480484e-17,0.041572359999999996,7.627737654786472e-15,0.938,0.0,0.0,0.026315410623993098,0.009999999999943053,0.049999999999616664,1.062478852279958e-102,2.0521905162289313e-97,0.0019999999999806423,5.138522824700759e-144,5.514714301280949e-124,3.7946797338863353e-13,1.3256397437849716e-69,1.1389105281151393e-13,1.3104476588682916e-42,3.88099795023446e-15,1.561130525269717e-14,3.746713261066106e-15,4.631550856214334e-28,2.5134200531928954e-136,3.890726978836279e-97
2.1363925072149316e-17,0.041572359999999996,9.807095955630593e-15,0.938,0.0,0.0,0.026315410623843318,0.009999999999926783,0.04999999999950713,4.489582470089814e-102,8.385551164323944e-97,0.0019999999999751115,4.1923137533207815e-143,3.3270717578403624e-123,4.878873860570582e-13,4.3820697077757574e-69,1.4643135831348609e-13,2.7168863441017067e-42,4.98984982370894e-15,2.0071678183390597e-14,4.817202764700549e-15,7.595732002356969e-28,1.7548982280923427e-135,1.942981943484567e-96
3.085900288548698e-17,0.041572359999999996,1.4165818903827509e-14,0.938,0.0,0.0,0.02631541062354376,0.009999999999894243,0.04999999999928808,6.147676369660293e-101,8.784981254283578e-96,0.0019999999999640496,2.687732546809287e-141,8.910267577004339e-122,7.047262000791313e-13,2.934369279958564e-68,2.1151197566275933e-13,8.163459470682512e-42,7.207547224013696e-15,2.8992424043749605e-14,6.958181771923775e-15,1.5747314628730273e-27,6.57931096510721e-134,3.164346165990398e-95
4.984915851216231e-17,0.041572359999999996,2.288329018592406e-14,0.938,0.0,0.0,0.026315410622944645,0.009999999999829163,0.049999999998849964,7.941583132842328e-100,2.0212099611668327e-94,0.0019999999999419263,5.278746649700916e-139,6.575339725854586e-120,1.1384037828645288e-12,3.651343685232509e-67,3.416732357422896e-13,3.5097356587042674e-41,1.16429166383784e-14,4.683391576035628e-14,1.124013978618759e-14,4.0943296884406615e-27,6.556732951627728e-132,1.2079550860255227e-93
8.782946976551296e-17,0.041572359999999996,4.031833429100968e-14,0.938,0.0,0.0,0.026315410621746416,0.009999999999699001,0.04999999999797374,1.2599422111174767e-98,7.534964484157144e-93,0.0019999999998976795,2.0868358595038247e-136,8.641866575674014e-118,2.0057587674018592e-12,6.96101220761506e-66,6.019958574233673e-13,1.9763761699105433e-40,2.051355392404693e-14,8.251689917712441e-14,1.9804055813984677e-14,1.2690627747675341e-26,1.3001605591837356e-129,7.998216056207263e-92
1.6379009227221427e-16,0.041572359999999996,7.518882865576394e-14,0.938,0.0,0.0,0.026315410619349954,0.009999999999438678,0.04999999999622129,1.5874087156834752e-98,3.6439336893157275e-91,0.0019999999998091857,1.591227084893539e-133,1.5592366006349226e-115,3.740468012343585e-12,1.6968410071260446e-64,1.1226415068646039e-12,1.3123889521260434e-39,3.825442233212732e-14,1.5388286594487985e-13,3.693188786665667e-14,4.41116504999837e-26,4.964341589918129e-127,7.234189274756599e-90
3.157113372856169e-16,0.041572359999999996,1.4493144193377978e-13,0.938,0.0,0.0,0.026315410614557035,0.009999999998918034,0.049999999992716385,2.709542195477856e-98,2.0213261879041744e-89,0.001999999999632198,1.2874036364230668e-130,3.3348782297876973e-113,7.209883605699008e-12,4.722445753925294e-63,2.1639344299935793e-12,9.540606723298404e-39,7.37345345650844e-14,2.966147992172677e-13,7.118755196031186e-14,1.638676367692824e-25,2.008421404028403e-124,7.744536667230103e-88
4.676325822990195e-16,0.041572359999999996,2.146762211863157e-13,0.938,0.0,0.0,0.026315410609764115,0.00999999999839739,0.0499999999892115,3.893274656531846e-96,1.3579330120207374e-88,0.00199999999945521,1.659394335032728e-129,3.1903356149016427e-112,1.0679295337020132e-11,2.603724805522381e-62,3.205229518694401e-12,2.947480111785617e-38,1.092124807772575e-13,4.3934673213882493e-13,1.0544321603838192e-13,3.595092180336592e-25,2.3245549733980774e-123,6.41423383496245e-87
6.195538273124222e-16,0.041572359999999996,2.8442316628740685e-13,0.938,0.0,0.0,0.026315410604971202,0.009999999997876746,0.0499999999857066,1.0578511765257533e-95,5.605510915990402e-88,0.0019999999992782224,1.5809258796361893e-128,1.8381420603489287e-111,1.4148703206311259e-11,9.229120006021817e-62,4.246526772841107e-12,6.62952692486185e-38,1.446882610946083e-13,5.820786647095516e-13,1.3969888010086668e-13,6.3103686998816365e-25,2.1310824942812447e-122,3.325717140757008e-86
7.714750723258248e-16,0.041572359999999996,3.541722771069162e-13,0.938,0.0,0.0,0.026315410600178286,0.009999999997356101,0.04999999998220172,1.8386107936586235e-95,1.7715355992244057e-87,0.0019999999991012346,1.0868366072943767e-127,7.963579259596503e-111,1.761810721357669e-11,2.5553632357662006e-61,5.287826192303562e-12,1.2535765538173855e-37,1.8016187564727078e-13,7.24810596929448e-13,1.7395454414776604e-13,9.78451087289214e-25,1.3773927590683443e-121,1.312429883554401e-85
1.07531756235263e-15,0.041572359999999996,4.936769954188065e-13,0.938,0.0,0.0,0.026315410590592465,0.009999999996314811,0.04999999997519195,2.6597932031086594e-95,1.1046101026199283e-86,0.0019999999987472595,2.8710625589624928e-126,9.288615923280067e-110,2.4556903642046178e-11,1.2526973423982296e-60,7.370431526693341e-12,3.3006715479413575e-37,2.51102607940902e-13,1.0102744603167503e-12,2.424658721948079e-13,1.900941056192003e-24,2.9617075992606296e-120,1.2609486128467215e-84
1.3791600523794353e-15,0.041572359999999996,6.331903750785911e-13,0.938,0.0,0.0,0.026315410581006653,0.00999999999527352,0.049999999968182204,2.7204308212347803e-95,4.237618755007142e-86,0.0019999999983932844,2.2084479752099867e-125,5.080427117348644e-109,3.149568462246262e-11,4.064846699044301e-60,9.453045520820358e-12,6.8656018177034114e-37,3.220346787015207e-13,1.2957383223007333e-12,3.1097720017950653e-13,3.126983100675782e-24,2.0995048222749138e-119,6.018358016314398e-84
1.6830025424062406e-15,0.041572359999999996,7.727124149879261e-13,0.938,0.0,0.0,0.026315410571420846,0.00999999999423223,0.04999999996117247,2.702183099371384e-95,1.2686778845000048e-85,0.0019999999980393093,1.2285273616179665e-124,2.043224853001942e-108,3.843445015486177e-11,1.0542969493186347e-59,1.1535668173586283e-11,1.2400630053308855e-36,3.929580890274445e-13,1.5812021828813983e-12,3.7948852810186054e-13,4.6565814070874696e-24,1.0770799400622683e-118,2.150136459515557e-83
1.986845032433046e-15,0.041572359999999996,9.122431140579021e-13,0.938,0.0,0.0,0.026315410561835045,0.00999999999319094,0.04999999995416275,2.7869073297861988e-95,3.2599705064272134e-85,0.0019999999976853342,5.659527923254017e-124,6.911421508629814e-108,4.537320023927904e-11,2.369455612018703e-59,1.3618299483902221e-11,2.035422192489104e-36,4.638728400075562e-13,1.866666042058746e-12,4.4799985596186905e-13,6.489740126711493e-24,4.507143891258109e-118,6.508059024475895e-83
2.5945300124866564e-15,0.041572359999999996,1.1913304855028245e-12,0.938,0.0,0.0,0.02631541054266346,0.009999999991108361,0.04999999994014337,2.7644349994947942e-95,1.7643218510877077e-84,0.001999999996977384,1.512331858293563e-122,8.126696361025742e-107,5.925065406430368e-11,9.278142863769632e-59,1.7783588073007254e-11,4.523790658684319e-36,6.056763681071942e-13,2.437593756203497e-12,5.850225114948445e-13,1.1066754728237e-23,6.80342843540318e-117,5.040729551718586e-82
3.1414464945349058e-15,0.041572359999999996,1.442538723567131e-12,0.938,0.0,0.0,0.02631541052540906,0.00999999998923404,0.04999999992752597,2.5884846489946538e-95,5.552212647012838e-84,0.0019999999963402288,9.16600072214015e-122,3.653932315039533e-106,7.174030967507142e-11,2.414820364258041e-58,2.153237740145745e-11,8.025755635062631e-36,7.332699389994492e-13,2.9514286941344414e-12,7.083429012612892e-13,1.6224284755972653e-23,3.6002429537292714e-116,1.9056662567361748e-81
3.6883629765831556e-15,0.041572359999999996,1.693775000915773e-12,0.938,0.0,0.0,0.026315410508154675,0.009999999987359717,0.049999999914908624,2.1574771233161997e-95,1.4404736575654687e-83,0.0019999999957030735,4.204926085238788e-121,1.2725623423125271e-105,8.422991523491116e-11,5.365289200399688e-58,2.528119476397378e-11,1.298690980171786e-35,8.608354700070149e-13,3.465263627518658e-12,8.316632908257162e-13,2.2365413015996656e-23,1.441947672182987e-115,5.718322778490787e-81
4.782195940679654e-15,0.041572359999999996,2.196331648835332e-12,0.938,0.0,0.0,0.026315410473645984,0.009999999983611075,0.04999999988967409,2.1013855177960443e-95,7.105880032494934e-83,0.001999999994428763,7.07421532699297e-120,1.1461824803863943e-104,1.0920897620260849e-10,1.992469198456834e-57,3.277891356657445e-11,2.8302268734556655e-35,1.1158824369982088e-12,4.492933480646939e-12,1.0783040693484913e-12,3.7598558084534576e-23,1.7029490608163648e-114,3.7615851137337346e-80
6.969861868872652e-15,0.041572359999999996,3.2017811451522345e-12,0.938,0.0,0.0,0.02631541040462886,0.009999999976113791,0.0499999998392056,6.238524525137164e-95,7.770669680002253e-82,0.0019999999918801415,4.983778163452154e-118,3.301636100999908e-103,1.5916649753568927e-10,1.3731684164314392e-56,4.77746873096388e-11,8.761746298970471e-35,1.6256401632919635e-12,6.548273132343089e-12,1.5715856239695416e-12,7.986905920435931e-23,6.513551683013607e-113,6.273380317486732e-79
9.176444307087369e-15,0.041572359999999996,4.21637841878679e-12,0.938,0.0,0.0,0.02631541033501531,0.009999999968551679,0.04999999978830153,4.231376737505473e-94,3.8715060131443706e-81,0.001999999989309483,5.9244525555404224e-117,2.5553843666918826e-102,2.0955518492884673e-10,5.3463179817231245e-56,6.290058156191933e-11,1.9996082106482953e-34,2.1393519350452503e-12,8.621385009406197e-12,2.0691325274203647e-12,1.38450015413298e-22,6.729175489826284e-112,3.9822644670265334e-78
1.1383026745302086e-14,0.041572359999999996,5.2314310075754645e-12,0.938,0.0,0.0,0.02631541026540212,0.009999999960989566,0.04999999973739828,1.904544280565195e-93,1.3358657525227545e-80,0.001999999986738824,4.005307915840833e-116,1.2302532406570364e-101,2.5994305763418023e-10,1.5375462302058519e-55,7.802693104442775e-11,3.8168493481467614e-34,2.6526083818449808e-12,1.0694496812459444e-11,2.566679427581584e-12,2.130460921140084e-22,4.0448009802236545e-111,1.6488098111657392e-77
1.3589609183516803e-14,0.041572359999999996,6.24693850792225e-12,0.938,0.0,0.0,0.026315410195789292,0.009999999953427454,0.049999999686495836,6.322738979654148e-93,3.708548651826645e-80,0.001999999984168166,2.0023800383936506e-115,4.540212176990278e-101,3.1033011566486063e-10,3.6700858030450846e-55,9.315373535357361e-11,6.494798628772997e-34,3.1654099072773245e-12,1.27676085415033e-11,3.064226324452768e-12,3.036588251596872e-22,1.8334728085435325e-110,5.3659423351772495e-77
1.579619162173152e-14,0.041572359999999996,7.262900516597693e-12,0.938,0.0,0.0,0.026315410126176823,0.009999999945865342,0.049999999635594206,1.753994742421657e-92,8.87701785510152e-80,0.0019999999815975074,8.120041439690623e-115,1.400291277258064e-100,3.6071635903405843e-10,7.703393471316965e-55,1.08280994086133e-10,1.0200381566409115e-33,3.677756914561901e-12,1.4840720196538232e-11,3.5617732180334876e-12,4.102897483126319e-22,6.784617333841899e-110,1.480682728122724e-76
