Time (s),Volume (m^3),H_X(19),He,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),NO2(8),H2OX(9),NOX(10),OX(11),NX(12),OHX(13),NH3X(14),NH2X(15),NHX(16),N2OX(17),NO2X(18),H2(20)
0.0,0.054700809901540644,0.0,0.938,0.0,0.0,0.034625753121850796,0.01,0.05,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.755130198623691e-27,0.054700809901540644,6.803022100676728e-24,0.938,0.0,0.0,0.034625753121850796,0.01,0.05,-2.1050569749875653e-136,4.568344688383444e-138,0.002,-8.146859606278481e-216,-2.9247735874617243e-179,2.293484057796242e-22,1.1303143673006464e-107,6.883512858091581e-23,4.464408660904636e-65,4.538528862132002e-24,9.435388493936224e-24,2.264493238544694e-24,3.6794899118205405e-44,-2.215671352081088e-200,-1.1867967074921273e-149,2.107230167156099e-63
2.4514364556146336e-26,0.054700809901540644,1.9048461881894887e-23,0.938,0.0,0.0,0.034625753121850796,0.01,0.05,7.364511989375943e-125,5.0481480711427195e-136,0.002,5.1438881739570516e-213,5.298656631735926e-177,6.421755361829476e-22,6.876253900371732e-106,1.9273836002656434e-22,5.300145962225981e-64,1.2707880813969556e-23,2.6419087783021427e-23,6.340581067925143e-24,2.2224119067396055e-43,7.784333118976106e-198,1.2010691069520205e-147,3.184446216702608e-62
5.603283327119163e-26,0.054700809901540644,4.35393414443314e-23,0.938,0.0,0.0,0.034625753121850796,0.01,0.05,1.4202987408120677e-123,4.567184789213615e-134,0.002,1.1343902126093775e-209,2.2367888403425813e-174,1.4678297969895938e-21,3.104269702508023e-104,4.405448229178615e-22,5.203714735150441e-63,2.9046584717644466e-23,6.038648636119182e-23,1.449275672668604e-23,1.0699956663574128e-42,8.566000687543406e-195,2.5152233760192178e-145,3.42568192451385e-61
1.190697707012822e-25,0.054700809901540644,9.252110056920521e-23,0.938,0.0,0.0,0.034625753121850796,0.01,0.05,2.4313410296423305e-122,3.456514305191139e-132,0.002,1.6725436448880736e-206,7.194628522019916e-172,3.1191383186028845e-21,1.1721131738153198e-102,9.361577487004567e-22,4.602626753046242e-62,6.172399252499348e-23,1.283212835175326e-22,3.0797108044207835e-23,4.6729521880120854e-42,6.3134306792235884e-192,4.0421055257736653e-143,3.148791881582061e-60
2.4514364556146335e-25,0.054700809901540644,1.90484618818956e-22,0.938,0.0,0.0,0.034625753121850796,0.01,0.05,4.013764241535499e-121,2.401324539101771e-130,0.002,2.0428724665432e-203,2.058050176484772e-169,6.421755361829457e-21,4.066605101365497e-101,1.9273836002656505e-21,3.8687851150013835e-61,1.2707880813968836e-22,2.641908778302141e-22,6.340581067925143e-23,1.9508655512472507e-41,3.855122310590914e-189,5.779052774608835e-141,2.693857748147983e-59
4.972913952818256e-25,0.054700809901540644,3.864116553184703e-22,0.938,0.0,0.0,0.034625753121850796,0.01,0.05,6.520570477606346e-120,1.6004726355412485e-128,0.002,2.2811176328702124e-200,5.565056718492187e-167,1.3026989448282567e-20,1.3543492863660346e-99,3.909835303396051e-21,3.171863779429512e-60,2.577884393690654e-22,5.359300664555773e-22,1.286232159493386e-22,7.969922328599765e-41,2.152192898347109e-186,7.811818022936828e-139,2.2273336802694102e-58
1.0015868947225502e-24,0.054700809901540644,7.782657283175497e-22,0.938,0.0,0.0,0.034625753121850796,0.01,0.05,1.0511716198676136e-118,1.0451699291374719e-126,0.002,2.4382646028646985e-197,1.4639112604560488e-164,2.623745762118865e-20,4.420821641995512e-98,7.8747387096569e-21,2.5686575247038873e-59,5.192077018277687e-22,1.0794084437063033e-21,2.59058026489513e-22,3.221570033314653e-40,1.1501830586018586e-183,1.027359006759609e-136,1.8112307581736686e-57
2.0101778936039992e-24,0.054700809901540644,1.5619738743159114e-21,0.938,0.0,0.0,0.034625753121850796,0.01,0.05,1.6881785193645264e-117,6.756685189388311e-125,0.002,2.5506732499005636e-194,3.798717635399904e-162,5.265839396700028e-20,1.4287331640086832e-96,1.5804545522178802e-20,2.067479044035845e-58,1.0420462267449723e-21,2.1663651982077552e-21,5.199276475698617e-22,1.295379141416071e-39,6.015920730158475e-181,1.3328821176740983e-134,1.4608232228078414e-56
4.0273598913668975e-24,0.054700809901540644,3.1293901663134472e-21,0.938,0.0,0.0,0.034625753121850796,0.01,0.05,2.7061287383259103e-116,4.346042051786395e-123,0.002,2.6398616142953417e-191,9.790684720195625e-160,1.0550026665862136e-19,4.594591739814022e-95,3.166415914722343e-20,1.6590217275565813e-57,2.0877232765785672e-21,4.340278707210655e-21,1.041666889730559e-21,5.19504972955997e-39,3.113106454790999e-178,1.7176171261990543e-132,1.1734126555348429e-55
8.061723886892694e-24,0.054700809901540644,6.264222750311768e-21,0.938,0.0,0.0,0.034625753121850796,0.01,0.05,4.3338404637237715e-115,2.7884524719293637e-121,0.002,2.7176382460657428e-188,2.5148947321949317e-157,2.1118401204185482e-19,1.4739033436009254e-93,6.338338639731593e-20,1.3292362352859028e-56,4.1790773762425075e-21,8.688105725216446e-21,2.085145374051954e-21,2.0807296153746584e-38,1.6024047191099312e-175,2.2059587080962027e-130,9.406354827646396e-55
1.6130451877944288e-23,0.054700809901540644,1.2533887918321408e-20,0.938,0.0,0.0,0.034625753121850796,0.01,0.05,6.937372327532775e-114,1.7868483625591623e-119,0.002,2.7902698186847965e-185,6.449007039251516e-155,4.22551502808287e-19,4.722313641185573e-92,1.2682184089751392e-19,1.0641972207654514e-55,8.361785575557392e-21,1.7383759761227995e-20,4.1721023426947434e-21,8.328340999371551e-38,8.226131540779339e-173,2.828378667894272e-128,7.532712751583958e-54
3.226790786004747e-23,0.054700809901540644,2.5073218254392667e-20,0.938,0.0,0.0,0.034625753121850796,0.01,0.05,1.1102377792477747e-112,1.1442999064833871e-117,0.002,2.8610357951843263e-182,1.6523394605763813e-152,8.452864843410122e-19,1.5120727213340532e-90,2.5369874989796185e-19,8.516812078730175e-55,1.6727201974135176e-20,3.4775067833250937e-20,8.346016279980323e-21,3.3324212164004e-37,4.217374625755192e-170,3.623368839921663e-126,6.029223248424713e-53
6.454281982425385e-23,0.054700809901540644,5.0151878926743124e-20,0.938,0.0,0.0,0.034625753121850796,0.01,0.05,1.7765870122701906e-111,7.325814527499346e-116,0.002,2.9316476578553955e-179,4.2317738390808277e-150,1.690756447405906e-18,4.8401250266786955e-89,5.074525678990656e-19,6.814743664516757e-54,3.345803477108281e-20,6.955768397729621e-20,1.669384415455148e-20,1.3331854807982652e-36,2.160729418538649e-167,4.639861383287481e-124,4.824600115922272e-52
1.290926437526666e-22,0.054700809901540644,1.0030920027227581e-19,0.938,0.0,0.0,0.034625753121850796,0.01,0.05,2.842704472011507e-110,4.689255877394908e-114,0.002,3.0030044924167076e-176,1.0835626197412309e-147,3.381696373533468e-18,1.5490788233629385e-87,1.0149602039021052e-18,5.452312587524564e-53,6.691970036414632e-20,1.3912291626538442e-19,3.33894999036938e-20,5.33317594257726e-36,1.1066606226283368e-164,5.940270427177488e-122,3.860168759328265e-51
2.581922916094921e-22,0.054700809901540644,2.0062384296666823e-19,0.938,0.0,0.0,0.03462575312185079,0.01,0.05,4.548459357122524e-109,3.00135884933738e-112,0.002,3.0755873218712556e-173,2.7742128465230356e-145,6.763576225779688e-18,4.9574343735104014e-86,2.02997547591151e-18,4.3620571434442386e-52,1.3384303154694623e-19,2.7825338084155105e-19,6.67808114019784e-20,2.1333571839987338e-35,5.667042518132344e-162,7.604344878754815e-120,3.08833048612606e-50
5.163915873231431e-22,0.054700809901540644,4.0125312836876116e-19,0.938,0.0,0.0,0.03462575312185078,0.009999999999999998,0.049999999999999996,7.277640732921743e-108,1.9209448951757334e-110,0.0019999999999999996,3.149662934816348e-170,7.1023593623697625e-143,1.3527335930236511e-17,1.5864401444746846e-84,4.060006019943629e-18,3.489728546338086e-51,2.6768969389923784e-19,5.565143099938459e-19,1.3356343439854753e-19,8.533602353023111e-35,2.901766468117712e-159,9.734072665883307e-118,2.4707425829055415e-49
1.032790178750445e-21,0.054700809901540644,8.0251169922617935e-19,0.938,0.0,0.0,0.03462575312185076,0.009999999999999997,0.04999999999999998,1.164430978190307e-106,1.2294288075066353e-108,0.0019999999999999987,3.2253887489579563e-167,1.818251930923544e-140,2.7054855339007694e-17,5.076706296117117e-83,8.120067108061092e-18,2.791815970147457e-50,5.353830185505881e-19,1.1130361682982814e-18,2.6712868039168557e-19,3.4134756649253523e-34,1.4857660537416053e-156,1.245994020275063e-115,1.9766253446483275e-48
2.065587361605049e-21,0.054700809901540644,1.6050288411539445e-18,0.938,0.0,0.0,0.034625753121850726,0.009999999999999993,0.049999999999999954,1.8630963338452244e-105,7.868421406514923e-107,0.0019999999999999974,3.302866638957514e-164,4.6547862986071954e-138,5.4109894155980196e-17,1.624561668107059e-81,1.6240189284508927e-17,2.2334660294396858e-49,1.0707696676403556e-18,2.226079884906535e-18,5.342591723779604e-19,1.3653972107453873e-33,7.607279950688049e-154,1.5948932860388254e-113,1.5813127875352702e-47
4.1311817273142565e-21,0.054700809901540644,3.210063125861193e-18,0.938,0.0,0.0,0.03462575312185065,0.009999999999999985,0.0499999999999999,2.980959549152856e-104,5.035814351163554e-105,0.001999999999999995,3.382170540470598e-161,1.1916331453467953e-135,1.0821997178764576e-16,5.198622381922968e-80,3.248043363825624e-17,1.7867781249020507e-48,2.141542964968162e-18,4.452167318120575e-18,1.0685201563505046e-18,5.461602732571883e-33,3.8949677195275994e-151,2.041476806765213e-111,1.2650552354005046e-46
8.262370458732672e-21,0.054700809901540644,6.420131698682557e-18,0.938,0.0,0.0,0.0346257531218505,0.009999999999999969,0.04999999999999979,4.76953961067026e-103,3.2229290712128806e-103,0.001999999999999989,3.4633606037837847e-158,3.0505909004775008e-133,2.1644012704185914e-16,1.6635631682891202e-78,6.496092234915741e-17,1.4294246204715677e-47,4.283089556216854e-18,8.904342184538781e-18,2.1370421242955726e-18,2.1846438709570571e-32,1.994233809763653e-148,2.6130988862106294e-109,1.0120461914756235e-45
1.6524747921569502e-20,0.054700809901540644,1.2840268857952762e-17,0.938,0.0,0.0,0.03462575312185019,0.009999999999999936,0.049999999999999566,7.631266842773943e-102,2.0626771268520104e-101,0.0019999999999999784,3.5464904548338666e-155,7.809525549944346e-131,4.3288043751381484e-16,5.3234085420149955e-77,1.29921899784586e-16,1.143540544607963e-46,8.566182725086562e-18,1.7808691917335698e-17,4.274086060185626e-18,8.738581039745104e-32,1.0210503557387528e-145,3.3447720540338784e-107,8.096377560473292e-45
3.3049502847243166e-20,0.054700809901540644,2.568054323100307e-17,0.938,0.0,0.0,0.03462575312184959,0.009999999999999872,0.04999999999999912,1.2210029721258645e-100,1.3201141649249432e-99,0.0019999999999999562,3.631610925617505e-152,1.9992401760832996e-128,8.65761058311842e-16,1.7034917540119538e-75,2.5984385470994817e-16,9.14832774994844e-46,1.7132369008315273e-17,3.561739138277158e-17,8.548173931965412e-18,3.4954335271274687e-31,5.2277845803091195e-143,4.28131171722181e-105,6.477105285511135e-44
6.60990126985905e-20,0.054700809901540644,5.1361092195143266e-17,0.938,0.0,0.0,0.034625753121848374,0.009999999999999742,0.04999999999999824,1.9536049773099256e-99,8.44873318820187e-98,0.001999999999999912,3.718771976188065e-149,5.118056898753001e-126,1.7315222993243597e-15,5.451175220197789e-74,5.1968776477869225e-16,7.318663557449694e-45,3.426474135672988e-17,7.123479031301144e-17,1.709634967552368e-17,1.3981736331334971e-30,2.6766274224591906e-140,5.480081181908214e-103,5.181685564324058e-43
1.3219803240128515e-19,0.054700809901540644,1.0272219099558199e-16,0.938,0.0,0.0,0.034625753121845945,0.009999999999999482,0.04999999999999648,3.1257681414881155e-98,5.407190000622064e-96,0.0019999999999998235,3.808023689635321e-146,1.3102228050787234e-123,3.4630447790152475e-15,1.744376311289826e-72,1.039375585788259e-15,5.854931389367016e-44,6.852948518138781e-17,1.4246958817096367e-16,3.4192701162635024e-17,5.592694977391785e-30,1.3704336666821272e-137,7.014505186370736e-101,4.14534905152432e-42
2.6439607180667446e-19,0.054700809901540644,2.054443920850926e-16,0.938,0.0,0.0,0.034625753121841095,0.009999999999998961,0.049999999999992946,3.125768141510552e-98,3.4606017241630336e-94,0.001999999999999647,9.635377433615021e-143,3.3541704381479087e-121,6.926089729060435e-15,5.582004386474642e-71,2.0787512312957087e-15,4.683945329513851e-43,1.3705896934201885e-16,2.849391838767581e-16,6.838540413683688e-17,2.237078080162474e-29,1.7348013984234012e-134,8.978566785705038e-99,3.3162795863638187e-41
