Time (s),Volume (m^3),H_X(19),He,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),NO2(8),H2OX(9),NOX(10),OX(11),NX(12),OHX(13),NH3X(14),NH2X(15),NHX(16),N2OX(17),NO2X(18),H2(20),H2X(33)
0.0,0.048764219312884285,0.0,0.938,0.0,0.0,0.0308678760359664,0.01,0.05,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.473927470935268e-27,0.048764219312884285,5.908896740235558e-24,0.938,0.0,0.0,0.0308678760359664,0.01,0.05,-1.0671150947320212e-139,6.96064214725726e-143,0.002,-3.249985313073926e-222,-4.755126352500001e-185,2.343240861439838e-22,3.4150219771952775e-110,7.032849670132619e-23,9.224698265021766e-67,3.595275649661735e-24,9.640087877390819e-24,2.3136210905737964e-24,6.28043132759875e-45,-1.6952070630345238e-206,-3.085317616175373e-153,4.524529369302568e-64,5.670877863510578e-66
2.652699691861875e-26,0.048764219312884285,1.6544910872659605e-23,0.938,0.0,0.0,0.0308678760359664,0.01,0.05,7.731957244898347e-129,7.691703346391816e-141,0.002,2.0520251761561792e-219,8.614609295108445e-183,6.561074412031546e-22,2.077524518909857e-108,1.969197907637134e-22,1.0951561780233841e-65,1.0066771819052815e-23,2.6992246056694294e-23,6.47813905360663e-24,3.7933805218696455e-44,5.95578241912239e-204,3.122421593562023e-151,6.837468832115685e-63,8.569830654752108e-65
6.063313581398571e-26,0.048764219312884285,3.781693913750787e-23,0.938,0.0,0.0,0.0308678760359664,0.01,0.05,1.4911631829641949e-127,6.958874824809927e-139,0.002,4.525365241510454e-216,3.6365938150163322e-180,1.499674151321496e-21,9.378938755607298e-107,4.50102378888488e-22,1.0752308297709374e-64,2.3009764157834803e-23,6.169656241530122e-23,1.4807174979672297e-23,1.826349430065717e-43,6.553835183501482e-201,6.538830893435368e-149,7.35543696144621e-62,9.21903275653914e-64
1.2884541360471963e-25,0.048764219312884285,8.03609956672051e-23,0.938,0.0,0.0,0.0308678760359664,0.01,0.05,2.5526504561722786e-126,5.266581382201256e-137,0.002,6.67219338753554e-213,1.1697099481450518e-177,3.186807571558177e-21,3.541308818290183e-105,9.56467555138038e-22,9.510294923306844e-64,4.88957488353981e-23,1.3110519513251512e-22,3.146524683180363e-23,7.976147786050416e-43,4.8303970106045345e-198,1.0508269260861542e-146,6.760913798050409e-61,8.473879402895989e-63
2.6526996918618746e-25,0.048764219312884285,1.654491087266023e-22,0.938,0.0,0.0,0.0308678760359664,0.01,0.05,4.214027155059822e-125,3.658822152496883e-135,0.002,8.149527340889787e-210,3.345998695899242e-175,6.561074412031532e-21,1.2286445394255172e-103,1.9691979076371404e-21,7.993975921295629e-63,1.0066771819052192e-22,2.699224605669429e-22,6.478139053606629e-23,3.3298846898928595e-42,2.949548705091943e-195,1.5023814257469887e-144,5.784104095953769e-60,7.249582235010322e-62
5.381190803491232e-25,0.048764219312884285,3.3562533484540775e-22,0.938,0.0,0.0,0.0308678760359664,0.01,0.05,6.845908081687116e-124,2.438589469282553e-133,0.002,9.099946678667718e-207,9.047725237916614e-173,1.330960809297822e-20,4.091899296073078e-102,3.994658612635357e-21,6.553944435960285e-62,2.0421165690075854e-22,5.475569914357985e-22,1.3141367794459163e-22,1.360366547283202e-41,1.6466397859773085e-192,2.030839785810773e-142,4.782409120143613e-59,5.994094785082499e-61
1.0838173026749947e-24,0.048764219312884285,6.759777870830626e-22,0.938,0.0,0.0,0.0308678760359664,0.01,0.05,1.1036188186916934e-122,1.592492321459453e-131,0.002,9.726845102079877e-204,2.380041664856017e-170,2.680667545487149e-20,1.3356640821573805e-100,8.045580022631833e-21,5.307554126724978e-61,4.1129953432118776e-22,1.1028260531735094e-21,2.6467825276164227e-22,5.498819088016449e-41,8.800034545720505e-190,2.6708271225883515e-140,3.888975672260968e-58,4.8742983318220735e-60
2.1752137473267377e-24,0.048764219312884285,1.3566826915585488e-21,0.938,0.0,0.0,0.0308678760359664,0.01,0.05,1.7724085658975658e-121,1.029494724508503e-129,0.002,1.0175271206682132e-200,6.175993374392282e-168,5.380081017865761e-20,4.316635514144039e-99,1.6147422842624963e-20,4.271981307961591e-60,8.254752891618699e-22,2.2133641766489313e-21,5.312074023957437e-22,2.2110509706064662e-40,4.602772563357338e-187,3.4650961228491425e-138,3.13659976749848e-57,3.931298188197874e-59
4.358006636630223e-24,0.048764219312884285,2.718092500510226e-21,0.938,0.0,0.0,0.0308678760359664,0.01,0.05,2.841148433778158e-120,6.621926639164801e-128,0.002,1.0531065817470702e-197,1.591779378367052e-165,1.0778907962622823e-19,1.3881652905309702e-97,3.2351108482611925e-20,3.4279959596538646e-59,1.653826798842529e-21,4.434440423599775e-21,1.0642657016639463e-21,8.867303308848834e-40,2.3818334083243716e-184,4.46529244080271e-136,2.519487508869174e-56,3.15783249792689e-58
8.723592415237195e-24,0.048764219312884285,5.440912118416401e-21,0.938,0.0,0.0,0.0308678760359664,0.01,0.05,4.550073273073707e-119,4.248676723761347e-126,0.002,1.0841336183083666e-194,4.088741173754526e-163,2.1576561852136293e-19,4.453108304388845e-96,6.475847976258868e-20,2.7465682747245653e-58,3.310529818201026e-21,8.876592917501456e-21,2.1303823002003517e-21,3.551546484386481e-39,1.2259976165475744e-181,5.734834960443969e-134,2.0196810883588282e-55,2.531393608345456e-57
1.745476397245114e-23,0.048764219312884285,1.0886551354240035e-20,0.938,0.0,0.0,0.0308678760359664,0.01,0.05,7.2835058597765954e-118,2.7225642621918025e-124,0.002,1.1131081625623226e-191,1.048486056837865e-160,4.3171869631160603e-19,1.426753944401354e-94,1.2957322232255343e-19,2.1989246508735453e-57,6.623935856906738e-21,1.7760897905304814e-20,4.262615497273162e-21,1.4215441534802428e-38,6.293801773127615e-179,7.352941288737195e-132,1.617382904129736e-54,2.0271679372286652e-56
